0,1,2,3,4,5,6,7,8,9
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/13,04:00:09,0000000507610956,DEMAND,0000000507610954
D,ROOFTOP,ACTUAL,2,2026/03/13 03:30:00,NSW1,0,0.6,SATELLITE,2026/03/13 03:50:20
D,ROOFTOP,ACTUAL,2,2026/03/13 03:30:00,QLD1,0,0.6,SATELLITE,2026/03/13 03:50:20
D,ROOFTOP,ACTUAL,2,2026/03/13 03:30:00,SA1,0,0.6,SATELLITE,2026/03/13 03:50:20
D,ROOFTOP,ACTUAL,2,2026/03/13 03:30:00,TAS1,0,0.6,SATELLITE,2026/03/13 03:50:20
D,ROOFTOP,ACTUAL,2,2026/03/13 03:30:00,VIC1,0,0.6,SATELLITE,2026/03/13 03:50:20
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/10,10:30:17,0000000507182926,DEMAND,0000000507182924
D,ROOFTOP,ACTUAL,2,2026/03/10 10:00:00,NSW1,3784.123,0.6,SATELLITE,2026/03/10 10:20:19
D,ROOFTOP,ACTUAL,2,2026/03/10 10:00:00,QLD1,3414.656,0.6,SATELLITE,2026/03/10 10:20:19
D,ROOFTOP,ACTUAL,2,2026/03/10 10:00:00,SA1,1406.696,0.6,SATELLITE,2026/03/10 10:20:19
D,ROOFTOP,ACTUAL,2,2026/03/10 10:00:00,TAS1,141.486,0.6,SATELLITE,2026/03/10 10:20:19
D,ROOFTOP,ACTUAL,2,2026/03/10 10:00:00,VIC1,2828.756,0.6,SATELLITE,2026/03/10 10:20:19
C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2026/03/15,20:30:18,0000000508034532,DEMAND,0000000508034530
D,ROOFTOP,ACTUAL,2,2026/03/15 20:00:00,NSW1,0,0.6,SATELLITE,2026/03/15 20:20:17
