SETTLEMENTDATE,REGIONID,RRP
2026-03-10 13:55:00,VIC1,35.84257
2026-03-10 14:00:00,VIC1,27.48
2026-03-10 14:05:00,VIC1,34.91
2026-03-10 14:10:00,VIC1,36.66
2026-03-10 14:15:00,VIC1,35.94
2026-03-10 14:20:00,VIC1,36.69
2026-03-10 14:25:00,VIC1,37.7
2026-03-10 14:30:00,VIC1,46.57878
2026-03-10 14:35:00,VIC1,35.94
2026-03-10 14:40:00,VIC1,41.46268
2026-03-10 14:45:00,VIC1,42.3071
2026-03-10 14:50:00,VIC1,39.96018
2026-03-10 14:55:00,VIC1,45.42316
2026-03-10 15:00:00,VIC1,37.02023
2026-03-10 15:05:00,VIC1,40.27709
2026-03-10 15:10:00,VIC1,50.94031
2026-03-10 15:15:00,VIC1,53.9533
2026-03-10 15:20:00,VIC1,56.5
2026-03-10 15:25:00,VIC1,56.5
2026-03-10 15:30:00,VIC1,56.5
2026-03-10 15:35:00,VIC1,56.5
2026-03-10 15:40:00,VIC1,56.5
2026-03-10 15:45:00,VIC1,56.5
2026-03-10 15:50:00,VIC1,56.5
2026-03-10 15:55:00,VIC1,92.04
2026-03-10 16:00:00,VIC1,62.1519
2026-03-10 16:05:00,VIC1,59.50802
2026-03-10 16:10:00,VIC1,56.5
2026-03-10 16:15:00,VIC1,59.00766
2026-03-10 16:20:00,VIC1,74.68
2026-03-10 16:25:00,VIC1,74.68
2026-03-10 16:30:00,VIC1,90.7
2026-03-10 16:35:00,VIC1,90.67
2026-03-10 16:40:00,VIC1,58.5
2026-03-10 16:45:00,VIC1,58.5
2026-03-10 16:50:00,VIC1,64.81354
2026-03-10 16:55:00,VIC1,90.67
2026-03-10 17:00:00,VIC1,90.66
2026-03-10 17:05:00,VIC1,75.88303
2026-03-10 17:10:00,VIC1,73.79942
2026-03-10 17:15:00,VIC1,84.65952
2026-03-10 17:20:00,VIC1,115.67
2026-03-10 17:25:00,VIC1,126.59
2026-03-10 17:30:00,VIC1,136.16431
2026-03-10 17:35:00,VIC1,118.56342
2026-03-10 17:40:00,VIC1,118.43
2026-03-10 17:45:00,VIC1,118.43
2026-03-10 17:50:00,VIC1,115.74919
2026-03-10 17:55:00,VIC1,132.6141
2026-03-10 18:00:00,VIC1,133.59027
2026-03-10 18:05:00,VIC1,128.03378
2026-03-10 18:10:00,VIC1,132.32476
2026-03-10 18:15:00,VIC1,122.60679
2026-03-10 18:20:00,VIC1,124.88217
2026-03-10 18:25:00,VIC1,124.05944
2026-03-10 18:30:00,VIC1,118.54755
2026-03-10 18:35:00,VIC1,118.43
2026-03-10 18:40:00,VIC1,99.69
