0,1,2,3,4,5,6,7,8,9
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/17 12:30:00,5127,0,0,2026/03/17 12:30:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/11,04:00:18,0000000507291852,DEMAND,0000000507291852
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/11 04:00:00,6537,0,0,2026/03/11 04:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/11 04:00:00,5782,0,0,2026/03/11 04:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/11 04:00:00,1348,0,0,2026/03/11 04:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/11 04:00:00,881,0,0,2026/03/11 04:00:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/11 04:00:00,4580,0,0,2026/03/11 04:00:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/18,13:30:58,0000000508451906,DEMAND,0000000508451906
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/18 13:30:00,7696,0,0,2026/03/18 13:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,2026/03/18 13:30:00,5584,0,0,2026/03/18 13:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,SA1,2026/03/18 13:30:00,1299,0,0,2026/03/18 13:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,TAS1,2026/03/18 13:30:00,820,0,0,2026/03/18 13:30:01
D,OPERATIONAL_DEMAND,ACTUAL,3,VIC1,2026/03/18 13:30:00,3782,0,0,2026/03/18 13:30:01
C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_HH,AEMO,PUBLIC,2026/03/14,10:30:19,0000000507816389,DEMAND,0000000507816389
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,2026/03/14 10:30:00,5031,0,0,2026/03/14 10:30:01
